tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group
2228355	Oculatella ucrainica	Oculatella	Oculatellaceae	Oculatellales	Cyanophyceae	Cyanobacteriota	Terrabacteria group	Bacteria			
549295	Flavihumibacter petaseus	Flavihumibacter	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidota	FCB group	Bacteria			
1303405	Magnicamarosporium iriomotense	Magnicamarosporium	Sulcatisporaceae	Pleosporales	Dothideomycetes	Ascomycota	Opisthokonta	Eukaryota			
2675059	Lysobacter helvus	Lysobacter	Lysobacteraceae	Lysobacterales	Gammaproteobacteria	Pseudomonadota		Bacteria			
1508723	Ophiocordyceps arborescens	Ophiocordyceps	Ophiocordycipitaceae	Hypocreales	Sordariomycetes	Ascomycota	Opisthokonta	Eukaryota			
45574	[Candida] palmioleophila		Debaryomycetaceae	Serinales	Pichiomycetes	Ascomycota	Opisthokonta	Eukaryota			
654363	Campylobacter troglodytis	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Campylobacterota		Bacteria			
171442	Sporichthya brevicatena	Sporichthya	Sporichthyaceae	Sporichthyales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
442526	Massilia brevitalea	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Pseudomonadota		Bacteria			
1740721	Neobacillus cucumis	Neobacillus	Bacillaceae	Bacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
